Avg_hours_studied,last_exam_Score,hours_slept_before_exam,percentage_result
7,99,9,91
4,82,4,65
8,51,7,45
5,52,5,36
7,75,8,66
3,78,9,61
7,73,5,63
8,45,4,42
5,77,8,61
4,89,4,69
8,91,4,84
8,79,6,73
3,47,9,27
6,47,4,33
5,79,7,68
2,72,4,43
8,73,8,67
6,83,7,70
2,54,4,30
5,75,7,63
1,99,4,71
6,96,9,85
9,74,7,73
1,85,5,57
3,61,6,35
7,62,7,49
4,79,8,66
9,84,6,83
3,94,6,74
5,90,4,74
3,61,7,39
7,44,9,36
5,70,6,58
9,52,8,47
7,67,9,60
2,97,9,74
4,59,8,42
9,72,8,68
2,55,4,32
9,68,5,64
5,62,7,45
2,63,6,39
4,73,7,58
7,46,9,36
8,77,6,71
3,76,4,54
1,43,7,17
4,73,4,54
2,81,4,58
8,61,7,53
4,44,7,27
2,89,6,65
6,81,9,75
6,62,9,52
4,93,8,78
6,99,4,91
2,54,9,33
2,70,5,47
4,98,6,78
8,48,6,38
7,82,8,70
9,97,8,98
8,92,4,87
5,64,6,49
2,64,6,41
5,88,5,71
8,60,4,54
9,48,4,42
9,94,9,91
1,87,8,61
9,77,9,74
7,61,4,54
9,82,5,81
8,62,4,52
1,88,9,65
8,43,7,36
8,68,7,61
3,54,5,35
1,40,8,15
8,93,6,88
3,69,4,45
3,68,9,49
1,59,8,33
5,72,9,60
7,80,8,71
9,83,4,81
7,75,6,67
9,99,4,95
8,61,6,58
2,52,9,29
1,46,5,21
7,47,6,38
7,67,8,60
8,84,5,76
5,82,9,69
3,48,7,30
8,64,5,57
6,95,6,81
3,55,5,36
1,49,9,25
3,50,5,27
5,70,9,61
3,51,7,34
1,99,6,76
5,70,8,57
7,53,5,45
7,90,4,76
9,83,8,83
3,71,5,50
7,89,8,81
1,92,4,66
4,56,8,38
4,74,8,56
5,40,4,25
7,68,4,56
7,90,4,82
4,43,7,23
7,62,9,56
3,67,9,46
6,55,4,43
2,51,9,30
9,92,8,92
5,60,4,45
6,84,5,70
4,56,4,36
7,79,4,71
9,52,9,49
7,91,6,82
1,97,8,71
1,71,9,43
9,76,8,77
9,89,5,86
4,54,7,34
9,51,6,49
3,88,5,69
7,96,5,84
6,54,8,41
8,73,6,68
9,45,8,44
5,56,7,41
1,87,8,58
3,88,4,68
8,96,8,94
6,59,4,47
8,48,5,40
9,98,7,100
4,44,9,23
1,62,4,36
1,72,7,47
4,77,8,60
7,95,9,83
2,53,8,33
3,56,5,36
1,96,8,74
5,58,4,42
1,72,5,47
8,40,7,31
1,52,5,26
1,85,7,58
2,66,6,42
2,45,4,18
6,98,4,85
7,45,7,36
5,72,8,58
1,69,9,45
1,85,8,60
3,74,6,56
2,62,7,42
5,49,6,33
6,90,7,77
7,58,6,51
4,90,7,72
7,67,4,57
8,62,6,53
1,43,6,16
6,59,7,45
8,58,5,49
5,81,5,67
4,66,4,49
2,96,8,73
6,73,8,65
6,43,4,27
1,95,8,72
9,77,9,74
6,46,9,38
3,87,9,67
4,46,9,28
4,89,7,73
3,91,5,72
3,65,4,42
3,65,7,47
4,93,9,77
7,58,4,49
4,48,5,30
9,59,8,54
1,81,7,56
8,84,5,75
7,89,4,78
2,55,6,32
8,93,7,89
1,56,4,29
9,61,4,57
9,52,5,48
2,51,4,27
7,49,7,38
3,40,9,18
7,71,7,66
9,69,4,65
4,47,5,27
1,60,7,33
2,61,6,37
1,57,9,29
5,41,8,26
5,87,5,72
7,83,5,77
9,48,8,45
9,42,8,41
3,93,7,73
3,65,4,43
3,60,4,39
4,69,6,54
8,67,9,62
6,75,4,63
8,65,6,59
1,73,6,46
8,47,5,42
4,49,5,30
1,87,9,63
8,94,7,89
4,82,8,62
6,89,8,77
